sample_name,input_bases,mapped_bases,genome_length,average_cov,percent_mapped_bases
VNdL1G11.gd,1631533182,1561949693,2160842,722.843,0.957351
VNdL1G12.gd,279976154,151143367,2160842,69.9465,0.539844
VNdL1G13.gd,818811001,583754668,2160842,270.151,0.71293
VNdL1G14RPT.gd,761058791,603753560,2160842,279.407,0.793307
VNdL1G1.gd,285610769,259446268,2160842,120.067,0.908391
VNdL1G2.gd,165937952,130828815,2160842,60.5453,0.78842
VNdL1G3.gd,356864959,19863936,2160842,9.19268,0.0556623
VNdL1G4.gd,322552163,195612683,2160842,90.5261,0.606453
VNdL1G5.gd,937495408,192952243,2160842,89.2949,0.205817
VNdL1G6.gd,838459029,621893882,2160842,287.802,0.741711
VNdL1G7RPT.gd,98772277,58869255,2160842,27.2437,0.59601
VNdL1G8.gd,271182440,181882397,2160842,84.172,0.670701
VNdL1G9.gd,229755485,219885213,2160842,101.759,0.95704
VNdL2G0.gd,269287362,244665067,2160842,113.227,0.908565
VNdL2G10.gd,119888071,87477294,2160842,40.483,0.729658
VNdL2G11.gd,212920202,120085714,2160842,55.5736,0.563994
VNdL2G12.gd,193087535,106054988,2160842,49.0804,0.549259
VNdL2G13RPT.gd,1089629709,997938678,2160842,461.829,0.915851
VNdL2G14.gd,1326269552,1298178971,2160842,600.775,0.97882
VNdL2G1.gd,356844025,348426409,2160842,161.246,0.976411
VNdL2G2.gd,125646772,102172492,2160842,47.2836,0.813172
VNdL2G3.gd,267533307,108998409,2160842,50.4426,0.40742
VNdL2G4.gd,352143506,5881757,2160842,2.72197,0.0167027
VNdL2G5.gd,618658169,610900835,2160842,282.714,0.987461
VNdL2G6.gd,544955748,34957270,2160842,16.1776,0.064147
VNdL2G7.gd,278515907,266943898,2160842,123.537,0.958451
VNdL2G8.gd,627417011,584406603,2160842,270.453,0.931448
VNdL2G9.gd,541220751,537641102,2160842,248.811,0.993386
VNdL3G0.gd,235258997,214507989,2160842,99.2706,0.911795
VNdL3G10RPT.gd,620819167,571810284,2160842,264.624,0.921058
VNdL3G11.gd,1499944297,1447591280,2160842,669.92,0.965097
VNdL3G12.gd,69546933,41182099,2160842,19.0584,0.592148
VNdL3G13.gd,339335808,250185311,2160842,115.781,0.737279
VNdL3G14.gd,1618403976,1596901466,2160842,739.018,0.986714
VNdL3G1.gd,226224324,218137350,2160842,100.95,0.964252
VNdL3G2.gd,217488091,178479824,2160842,82.5974,0.820642
VNdL3G3.gd,244629630,60680330,2160842,28.0818,0.24805
VNdL3G4.gd,353519808,298738595,2160842,138.251,0.845041
VNdL3G5.gd,413711505,399695146,2160842,184.972,0.96612
VNdL3G6.gd,291399980,235383812,2160842,108.932,0.807769
VNdL3G7.gd,272853968,272360904,2160842,126.044,0.998193
VNdL3G8.gd,654454396,449278701,2160842,207.918,0.686494
VNdL3G9.gd,242146640,232287011,2160842,107.498,0.959282
IN0L1G0.gd,1116138975,1074978653,2160842,497.481,0.963123
IN0L1G10.gd,1518982931,1487804105,2160842,688.53,0.979474
IN0L1G11.gd,1727966157,1684067601,2160842,779.357,0.974595
IN0L1G12.gd,1797734972,1763322330,2160842,816.035,0.980858
IN0L1G13.gd,1309759356,1211302425,2160842,560.57,0.924828
IN0L1G14.gd,1823727239,1786958208,2160842,826.973,0.979839
IN0L1G1.gd,865718784,831556642,2160842,384.83,0.960539
IN0L1G2.gd,1248670719,1212676192,2160842,561.205,0.971174
IN0L1G3.gd,1761211818,1695767415,2160842,784.772,0.962841
IN0L1G4.gd,1785977559,1733111286,2160842,802.054,0.970399
IN0L1G5.gd,1484684904,1452373567,2160842,672.133,0.978237
IN0L1G6.gd,1442036992,1399112077,2160842,647.485,0.970233
IN0L1G7.gd,1453702839,1412805482,2160842,653.822,0.971867
IN0L1G8.gd,1019929834,992468631,2160842,459.297,0.973075
IN0L1G9.gd,1292934567,1264331127,2160842,585.11,0.977877
INDL1G10.gd,2168641462,2121054349,2160842,981.587,0.978057
INDL1G11.gd,1177089596,1146685946,2160842,530.666,0.97417
INDL1G12.gd,1886408149,1837205106,2160842,850.226,0.973917
INDL1G13.gd,1328449298,1292424887,2160842,598.112,0.972882
INDL1G14.gd,1327569089,1293630091,2160842,598.669,0.974435
INDL1G5.gd,1283898439,1252785735,2160842,579.767,0.975767
INDL1G6.gd,1462600882,1433847536,2160842,663.56,0.980341
INDL1G7.gd,1198170467,1173484511,2160842,543.068,0.979397
INDL1G8.gd,1362647230,1333003594,2160842,616.891,0.978246
INDL1G9.gd,1584351792,1544931691,2160842,714.967,0.975119
